0.769428,0.08048,0.632707,0.034421,0.056458,0.973689,-0.070178,-0.209327,0.020207,0.997749,0.006934,-0.06356,-0.051506,0.992452,-0.110756,0.01088,-0.101573,0.989719,-0.098907,-0.018874,0.746593,-0.035401,0.664072,0.018799
0.79851,0.089884,0.585292,0.108331,0.996022,-0.011163,-0.08672,-0.017197,0.985132,0.024397,0.16524,-0.040193,0.988713,-0.040253,0.142797,0.020886,0.985404,0.000359,0.165761,-0.038752,0.77439,-0.038512,0.630596,0.034423
0.691683,0.38461,0.602986,0.100292,0.720603,0.691019,-0.027179,-0.049844,0.614768,0.788199,0.008315,-0.027094,0.7255,0.676698,-0.077641,-0.098495,0.846834,0.531686,-0.006587,-0.01176,0.78681,-0.006348,0.616521,0.028137
0.430186,0.304717,0.835809,0.153335,0.98845,-0.12036,0.081127,0.043582,0.488199,0.866207,0.106288,-0.00706,0.527442,0.849205,0.00439,-0.025224,0.564052,0.825709,0.003896,0.00586,0.780084,0.006287,0.625544,-0.011108
0.476698,0.494851,0.679956,-0.25601,0.419074,0.905737,-0.055974,0.029731,0.44031,0.895887,-0.000289,0.059279,0.530285,0.839934,-0.106427,-0.044515,0.718224,0.691677,0.002836,0.07569,0.763048,0.036437,0.64391,-0.042541
0.523874,0.157629,0.789664,0.27774,0.555834,0.807609,0.183497,-0.071726,0.965029,0.162687,0.160235,-0.128751,0.990971,0.122206,0.012817,-0.053654,0.979089,0.106615,0.172223,0.018893,0.743512,0.0791,0.663924,0.011779
0.659408,0.24887,0.705729,-0.072057,0.963141,0.187706,-0.077662,-0.176338,-0.065491,0.967146,-0.114536,0.217303,-0.114143,0.980927,-0.141274,0.069253,-0.130179,0.976107,-0.11254,0.132674,0.784429,-0.518558,0.008179,0.340151
0.582297,0.312106,0.692199,-0.290482,0.960176,0.178415,-0.080148,-0.199517,0.939502,0.288944,-0.018438,-0.183049,-0.037838,0.966703,-0.222542,0.120536,0.002389,0.962473,-0.184343,0.19914,0.744131,-0.554925,-0.02301,0.371211
0.792992,0.021236,0.608603,0.017743,0.140558,0.987202,0.018176,-0.073106,0.107205,0.98899,0.058115,0.083834,0.305586,0.95081,-0.048459,-0.015137,0.989944,0.119053,0.074833,0.015394,0.698984,0.023438,0.712534,0.056275
0.803214,0.04795,0.593726,0.00603,0.009153,0.997561,-0.037723,-0.058008,-0.073805,0.995376,-0.061187,0.005988,0.09644,0.986793,-0.120556,-0.049035,0.945065,0.282593,-0.056545,-0.154259,0.915893,-0.223938,0.330261,0.043823
